TAGS,done,thoughts,,,,,,
,,,,,,,,
Category,Variable Name,Unit of Measure,Data Type,Description,,1/29/20,1/30/20,2/13/20
identifier,encounter_id,None,integer,Unique identifier associated with a patient unit stay,,,,
identifier,hospital_id,None,integer,Unique identifier associated with a hospital,,,,
identifier,patient_id,None,integer,Unique identifier associated with a patient,,,,
demographic,hospital_death,None,binary,Whether the patient died during this hospitalization,,,,
demographic,age,Years,numeric,The age of the patient on unit admission,,filled N/A with the median of age,,
demographic,bmi,kilograms/metres^2,string,The body mass index of the person on unit admission,,filled N/A with mean of bmi by gender & dropped the rest of the N/A with most other data points N/A,,
demographic,elective_surgery,None,binary,Whether the patient was admitted to the hospital for an elective surgical operation,,,,
demographic,ethnicity,None,string,The common national or cultural tradition which the person belongs to,,,,
demographic,gender,None,string,The genotypical sex of the patient,,,,
demographic,height,centimetres,numeric,The height of the person on unit admission,,filled N/A with median height by gender,,
demographic,hospital_admit_source,None,string,The location of the patient prior to being admitted to the hospital,,,(1) filled N/A with the icu_admit_source - 0.11% N/A,
demographic,icu_admit_source,None,string,The location of the patient prior to being admitted to the unit,,fill N/A the 0.12% with other clues: (hospital_admit_source or else),0.11% N/A,
demographic,icu_admit_type,None,string,The type of unit admission for the patient,,,,
demographic,icu_id,None,integer,A unique identifier for the unit to which the patient was admitted,,,,
demographic,icu_stay_type,None,string,,,,,
demographic,icu_type,None,string,A classification which indicates the type of care the unit is capable of providing,,,,
demographic,pre_icu_los_days,Days,numeric,The length of stay of the patient between hospital admission and unit admission,,,,
demographic,readmission_status,None,binary,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,,Dropped Col - All N/A,,
demographic,weight,kilograms,numeric,The weight (body mass) of the person on unit admission,,filled N/A with median weight by gender,,
APACHE covariate,albumin_apache,g/L,numeric,The albumin concentration measured during the first 24 hours which results in the highest APACHE III score,,"58.81% of NA - albumin is tested when doctor suspects that you have liver conditions. (1) Use the factors for a ""liver panel"" to determine whether the NA indicate healthy livers - if so subsitute them with the median (mid-point) of the albumin reference scale. (2) high vs. low relationships, relationship with creatinine & bun (maybe create bun_to_creatinine ratio)",,
APACHE covariate,apache_2_diagnosis,None,string,The APACHE II diagnosis for the ICU admission,,"Assumed that the N/A was because patients were admitted through Accident & Emergency and Operation Room/Recovery, I found that the majority of patients with data was also admitted through Accident & Emergency and Operation Room/Recovery so we can safely removed these outliers with mostly missing data",,
APACHE covariate,apache_3j_diagnosis,None,string,The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission,,,,
APACHE covariate,apache_post_operative,None,binary,"The APACHE operative status; 1 for post-operative, 0 for non-operative",,,,
APACHE covariate,arf_apache,None,binary,"Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis",,,,
APACHE covariate,bilirubin_apache,micromol/L,numeric,The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,bun_apache,mmol/L,numeric,The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,creatinine_apache,micromol/L,numeric,The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,fio2_apache,Fraction,numeric,The fraction of inspired oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,,,,
APACHE covariate,gcs_eyes_apache,None,integer,The eye opening component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,gcs_motor_apache,None,integer,The motor component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,gcs_unable_apache,None,binary,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,,,,
APACHE covariate,gcs_verbal_apache,None,integer,The verbal component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,glucose_apache,mmol/L,numeric,The glucose concentration measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,heart_rate_apache,Beats per minute,numeric,The heart rate measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,hematocrit_apache,Fraction,numeric,The hematocrit measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,intubated_apache,None,binary,Whether the patient was intubated at the time of the highest scoring arterial blood gas used in the oxygenation score,,,,
APACHE covariate,map_apache,Millimetres of mercury,numeric,The mean arterial pressure measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,paco2_apache,Millimetres of mercury,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,,,,
APACHE covariate,paco2_for_ph_apache,Millimetres of mercury,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,,,,
APACHE covariate,pao2_apache,Millimetres of mercury,numeric,The partial pressure of oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,,,,
APACHE covariate,ph_apache,None,numeric,The pH from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,,,,
APACHE covariate,resprate_apache,Breaths per minute,numeric,The respiratory rate measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,sodium_apache,mmol/L,numeric,The sodium concentration measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,temp_apache,Degrees Celsius,numeric,The temperature measured during the first 24 hours which results in the highest APACHE III score,,,,
APACHE covariate,urineoutput_apache,Millilitres,numeric,The total urine output for the first 24 hours,,,,
APACHE covariate,ventilated_apache,None,binary,"Whether the patient was invasively ventilated at the time of the highest scoring arterial blood gas using the oxygenation scoring algorithm, including any mode of positive pressure ventilation delivered through a circuit attached to an endo-tracheal tube or tracheostomy",,,,
APACHE covariate,wbc_apache,10^9/L,numeric,The white blood cell count measured during the first 24 hours which results in the highest APACHE III score,,,,
vitals,d1_diasbp_invasive_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",,,,
vitals,d1_diasbp_invasive_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",,,,
vitals,d1_diasbp_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",,,,
vitals,d1_diasbp_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",,,,
